invoice_id,customer_id,product_id,quantity,invoice_date,unit_price,line_total
INV000054,C00002,P00929,18,2024-06-15,18.08,325.44
INV000055,C00002,P01784,25,2023-06-09,19.63,490.75
INV000056,C00002,P01786,15,2024-07-13,43.24,648.60
INV000057,C00002,P00796,22,2023-03-15,80.18,1763.96
INV000058,C00002,P01251,15,2024-12-09,38.51,577.65
INV000059,C00002,P04747,19,2024-09-28,34.50,655.50
INV000060,C00002,P01655,34,2023-08-24,29.30,996.20
INV000061,C00002,P02275,66,2023-09-07,30.09,1985.94
INV000062,C00002,P00318,1,2025-11-10,187.45,187.45
INV000063,C00002,P00309,1,2025-07-31,67.03,67.03
INV000064,C00002,P02069,73,2025-09-29,45.34,3309.82
INV000065,C00002,P00542,24,2023-10-10,44.89,1077.36
INV000066,C00002,P00132,1,2023-03-16,118.41,118.41
INV000067,C00002,P00584,5,2025-12-26,30.24,151.20
INV000068,C00002,P04684,22,2025-08-13,37.01,814.22
INV000069,C00003,P04353,45,2023-05-21,10.15,456.75
INV000070,C00003,P00628,23,2024-10-11,62.26,1431.98
INV000071,C00003,P01403,16,2023-09-16,30.73,491.68
INV000072,C00003,P01404,38,2024-07-04,50.68,1925.84
INV000073,C00003,P01352,43,2025-05-29,82.50,3547.50
INV000074,C00003,P05295,7,2024-10-05,26.12,182.84
INV000075,C00003,P04733,18,2024-10-29,25.31,455.58
INV000076,C00003,P04792,19,2025-06-11,78.30,1487.70
INV000077,C00003,P04799,15,2024-09-07,32.11,481.65
INV000078,C00003,P05348,10,2023-11-14,38.44,384.40
INV000079,C00003,P00452,4,2025-05-19,187.37,749.48
INV000080,C00003,P01512,62,2023-01-16,54.61,3385.82
INV000081,C00003,P04724,25,2023-05-10,13.25,331.25
INV000082,C00003,P04127,14,2025-08-18,14.55,203.70
INV000083,C00003,P01477,18,2024-06-15,39.01,702.18
INV000084,C00003,P04674,4,2023-10-15,47.55,190.20
INV000085,C00003,P00953,21,2023-09-09,22.68,476.28
INV000086,C00003,P05349,24,2024-08-01,55.13,1323.12
INV000087,C00003,P00935,17,2025-09-20,40.19,683.23
INV000088,C00003,P00513,23,2025-05-28,52.66,1211.18
INV000089,C00003,P05159,4,2023-09-15,1061.55,4246.20
INV000090,C00003,P01225,3,2024-10-21,29.52,88.56
INV000091,C00003,P04722,22,2023-03-14,17.45,383.90
INV000092,C00003,P00560,14,2025-06-30,33.47,468.58
INV000093,C00003,P00026,3,2023-10-20,284.79,854.37
INV000094,C00003,P00025,4,2025-06-09,197.66,790.64
INV000095,C00003,P00449,4,2025-02-09,437.31,1749.24
INV000096,C00003,P00270,5,2025-05-20,210.20,1051.00
INV000097,C00003,P01292,36,2025-08-23,65.74,2366.64
INV000098,C00003,P01804,16,2025-03-04,41.85,669.60
INV000099,C00004,P00742,5,2023-07-09,31.10,155.50
INV000100,C00004,P01658,52,2025-05-25,67.96,3533.92
INV000101,C00004,P01919,93,2025-10-31,51.59,4797.87
INV000102,C00004,P02181,62,2023-08-22,16.89,1047.18
INV000103,C00004,P01618,44,2023-04-27,36.93,1624.92
INV000104,C00004,P04838,4,2024-01-14,23.17,92.68
INV000105,C00004,P05110,5,2023-05-27,198.57,992.85
INV000106,C00004,P02004,74,2025-09-21,45.80,3389.20
INV000107,C00004,P02061,80,2025-07-23,39.08,3126.40
INV000108,C00004,P00868,5,2024-04-27,130.34,651.70
INV000109,C00004,P01917,51,2025-10-24,43.80,2233.80
INV000110,C00004,P00422,5,2023-06-24,247.56,1237.80
INV000111,C00004,P04098,41,2025-04-07,12.69,520.29
INV000112,C00004,P04480,29,2025-07-15,91.34,2648.86
INV000113,C00004,P04678,4,2024-03-05,42.47,169.88
INV000114,C00004,P00049,5,2025-08-29,128.88,644.40
INV000115,C00004,P00093,3,2023-11-17,196.70,590.10
INV000116,C00004,P01443,32,2025-08-03,27.88,892.16
INV000117,C00004,P01621,99,2023-07-11,16.86,1669.14
INV000118,C00004,P01813,56,2025-06-20,47.20,2643.20
INV000119,C00004,P00486,4,2023-03-05,286.21,1144.84
INV000120,C00004,P05130,4,2023-05-24,187.02,748.08
INV000121,C00004,P02230,99,2024-09-19,10.38,1027.62
INV000122,C00004,P01616,28,2023-07-24,36.56,1023.68
INV000123,C00004,P02209,11,2024-08-10,9.24,101.64
INV000124,C00004,P04575,23,2025-12-19,13.55,311.65
INV000125,C00004,P04370,19,2025-08-28,35.44,673.36
INV000126,C00004,P01322,85,2023-06-20,34.63,2943.55
INV000127,C00004,P00025,3,2024-07-29,176.14,528.42
INV000128,C00004,P04765,9,2024-07-28,47.53,427.77
INV000129,C00004,P00703,2,2023-08-01,20.04,40.08
INV000130,C00004,P05273,21,2023-06-02,236.67,4970.07
INV000131,C00004,P01504,14,2025-05-07,37.17,520.38
INV000132,C00004,P04323,30,2024-08-20,16.88,506.40
INV000133,C00004,P00331,2,2023-01-19,68.76,137.52
INV000134,C00004,P01229,14,2024-07-04,35.23,493.22
INV000135,C00004,P00619,22,2024-04-06,28.43,625.46
INV000136,C00004,P04494,16,2025-05-03,85.66,1370.56
INV000137,C00004,P01072,14,2025-06-06,18.76,262.64
INV000138,C00004,P01138,24,2024-02-29,47.67,1144.08
INV000139,C00004,P00427,2,2025-07-27,399.94,799.88
INV000140,C00004,P01326,72,2025-04-25,69.72,5019.84
INV000141,C00004,P04113,41,2024-10-13,18.91,775.31
INV000142,C00004,P02043,18,2025-06-01,81.82,1472.76
INV000143,C00004,P05360,20,2025-09-10,44.13,882.60
INV000144,C00004,P01054,17,2024-10-09,11.81,200.77
INV000145,C00004,P04211,35,2025-05-06,40.79,1427.65
INV000146,C00004,P00284,4,2024-03-10,53.05,212.20
INV000147,C00004,P01447,75,2023-04-22,39.13,2934.75
INV000148,C00004,P04598,15,2025-04-04,13.52,202.80
INV000149,C00004,P04860,6,2024-02-06,10.55,63.30
INV000150,C00004,P01042,15,2023-07-03,21.50,322.50
INV000151,C00004,P04074,21,2024-03-16,11.06,232.26
INV000152,C00004,P04611,40,2023-06-20,16.98,679.20
INV000153,C00004,P02236,84,2024-09-02,33.94,2850.96
INV000154,C00004,P05144,2,2025-10-08,648.46,1296.92
INV000155,C00004,P05323,23,2024-04-05,63.24,1454.52
INV000156,C00004,P00399,5,2024-11-11,88.69,443.45
INV000157,C00004,P01745,59,2023-02-22,54.56,3219.04
INV000158,C00004,P05154,3,2023-03-17,770.06,2310.18
INV000159,C00004,P02018,37,2024-09-27,52.10,1927.70
INV000160,C00004,P04505,7,2024-09-04,90.39,632.73
INV000161,C00004,P00263,4,2023-04-14,244.08,976.32
INV000162,C00004,P00513,17,2024-06-21,53.32,906.44
INV000163,C00004,P02131,57,2023-07-27,30.91,1761.87
INV000164,C00004,P01245,24,2024-03-14,18.99,455.76
INV000165,C00004,P00395,2,2024-12-24,40.43,80.86
INV000166,C00004,P01778,83,2025-07-07,51.27,4255.41
INV000167,C00004,P04524,33,2023-08-14,6.96,229.68
INV000168,C00004,P04175,20,2025-06-17,69.15,1383.00
INV000169,C00004,P04691,2,2023-07-20,23.72,47.44
INV000170,C00004,P01687,29,2023-09-03,28.27,819.83
INV000171,C00004,P00068,3,2024-07-17,61.89,185.67
INV000172,C00004,P05345,21,2025-05-21,28.71,602.91
INV000173,C00004,P00280,3,2025-07-09,176.23,528.69
INV000174,C00004,P01914,91,2023-08-07,72.64,6610.24
INV000175,C00004,P00478,4,2025-01-29,205.73,822.92
INV000176,C00004,P04272,11,2024-12-13,9.99,109.89
INV000177,C00004,P00356,3,2025-09-22,57.69,173.07
INV000178,C00004,P00890,17,2023-05-02,60.28,1024.76
INV000179,C00004,P00195,1,2024-03-19,540.57,540.57
INV000180,C00004,P04319,9,2024-04-27,8.66,77.94
INV000181,C00004,P04694,5,2024-08-27,22.17,110.85
INV000182,C00004,P04773,22,2023-07-21,86.55,1904.10
INV000183,C00004,P00863,12,2024-12-06,53.85,646.20
INV000184,C00004,P02248,21,2025-07-24,30.45,639.45
INV000185,C00004,P00177,5,2024-10-16,212.57,1062.85
INV000186,C00004,P01367,59,2024-04-06,39.51,2331.09
INV000187,C00004,P04577,34,2025-07-04,6.68,227.12
INV000188,C00004,P00388,1,2025-01-25,167.82,167.82
INV000189,C00004,P05355,11,2024-02-14,57.71,634.81
INV000190,C00004,P00256,3,2024-03-11,245.80,737.40
INV000191,C00005,P05338,15,2025-04-20,51.53,772.95
INV000192,C00005,P01826,31,2025-08-11,22.94,711.14
INV000193,C00005,P04725,3,2025-01-29,28.56,85.68
INV000194,C00005,P00973,25,2025-06-17,94.03,2350.75
INV000195,C00005,P05279,10,2025-10-11,136.23,1362.30
INV000196,C00005,P00595,23,2023-07-21,14.09,324.07
INV000197,C00005,P00861,21,2023-05-28,149.08,3130.68
INV000198,C00005,P01277,24,2025-06-27,39.13,939.12
INV000199,C00005,P00137,3,2025-07-04,120.06,360.18
INV000200,C00005,P05334,20,2024-06-04,64.36,1287.20
INV000201,C00005,P02062,58,2023-06-20,40.07,2324.06
INV000202,C00005,P01310,75,2025-09-26,45.62,3421.50
INV000203,C00005,P01282,13,2024-09-27,31.90,414.70
INV000204,C00005,P00257,3,2023-09-02,221.09,663.27
INV000205,C00005,P05353,22,2024-11-14,40.61,893.42
INV000206,C00005,P01575,72,2025-11-12,38.82,2795.04
INV000207,C00005,P00500,18,2025-03-02,38.38,690.84
INV000208,C00005,P00316,2,2024-12-29,141.08,282.16
INV000209,C00005,P05349,3,2024-07-15,52.07,156.21
INV000210,C00005,P01392,36,2025-06-05,55.74,2006.64
INV000211,C00005,P00380,3,2024-11-30,134.43,403.29
INV000212,C00005,P05350,24,2025-09-10,19.54,468.96
INV000213,C00005,P01107,17,2025-02-18,40.95,696.15
INV000214,C00005,P00709,19,2023-10-12,38.22,726.18
INV000215,C00005,P02123,47,2024-07-28,21.45,1008.15
INV000216,C00005,P00588,22,2025-06-22,8.27,181.94
INV000217,C00005,P01981,18,2025-07-17,98.81,1778.58
INV000218,C00005,P01470,82,2023-01-05,68.35,5604.70
INV000219,C00005,P05332,20,2023-06-17,57.02,1140.40
INV000220,C00005,P00449,2,2025-05-14,454.99,909.98
INV000221,C00005,P01270,24,2024-11-13,41.25,990.00
INV000222,C00005,P04799,17,2023-10-09,30.05,510.85
INV000223,C00005,P00325,3,2025-04-24,198.41,595.23
INV000224,C00005,P02229,49,2025-05-19,25.53,1250.97
INV000225,C00005,P01678,89,2024-07-02,73.09,6505.01
INV000226,C00005,P00107,1,2023-07-01,135.06,135.06
INV000227,C00005,P00616,24,2024-12-25,26.58,637.92
INV000228,C00005,P01437,75,2024-06-27,39.41,2955.75
INV000229,C00005,P00206,2,2023-07-19,259.64,519.28
INV000230,C00005,P04836,16,2024-05-01,12.98,207.68
INV000231,C00005,P00284,2,2023-09-18,54.80,109.60
INV000232,C00005,P00654,24,2023-09-22,22.69,544.56
INV000233,C00005,P02160,45,2025-02-19,36.68,1650.60
INV000234,C00005,P04716,18,2025-05-28,19.62,353.16
INV000235,C00005,P00224,1,2025-02-19,449.98,449.98
INV000236,C00005,P00833,15,2023-10-29,107.83,1617.45
INV000237,C00006,P02036,41,2024-09-18,57.53,2358.73
INV000238,C00006,P04450,36,2025-10-28,133.25,4797.00
INV000239,C00006,P01813,45,2023-08-29,49.28,2217.60
INV000240,C00006,P01896,80,2023-12-12,53.03,4242.40
INV000241,C00006,P00695,23,2023-02-20,29.96,689.08
INV000242,C00006,P00926,5,2023-01-18,10.53,52.65
INV000243,C00006,P04795,20,2024-03-27,81.90,1638.00
INV000244,C00006,P00148,4,2024-12-21,135.87,543.48
INV000245,C00006,P04833,25,2024-05-18,26.07,651.75
INV000246,C00006,P04248,19,2025-05-01,7.49,142.31
INV000247,C00006,P01688,35,2025-01-01,40.22,1407.70
INV000248,C00006,P02130,66,2025-07-18,53.45,3527.70
INV000249,C00006,P05285,24,2024-11-19,374.25,8982.00
INV000250,C00006,P01074,10,2023-04-11,18.10,181.00
INV000251,C00006,P05324,21,2023-11-07,54.55,1145.55
INV000252,C00006,P01036,21,2023-09-05,6.66,139.86
INV000253,C00006,P01437,82,2023-06-07,38.35,3144.70
INV000254,C00006,P04702,19,2025-11-02,8.53,162.07
INV000255,C00006,P00324,4,2024-12-16,140.04,560.16
INV000256,C00006,P04589,40,2023-02-11,9.70,388.00
INV000257,C00006,P04724,10,2023-08-05,13.54,135.40
INV000258,C00006,P00612,25,2024-04-23,8.41,210.25
INV000259,C00006,P00253,4,2025-03-04,208.58,834.32
INV000260,C00006,P04724,13,2024-07-19,14.20,184.60
INV000261,C00006,P04535,6,2025-09-13,9.22,55.32
INV000262,C00006,P00504,15,2023-01-11,37.41,561.15
INV000263,C00006,P04392,35,2025-01-22,64.23,2248.05
INV000264,C00006,P00357,4,2024-06-05,68.89,275.56
INV000265,C00006,P00863,16,2023-05-23,47.63,762.08
INV000266,C00006,P04535,43,2024-07-26,8.99,386.57
INV000267,C00006,P00137,2,2023-06-05,122.42,244.84
INV000268,C00006,P01546,100,2025-03-29,49.56,4956.00
INV000269,C00006,P02168,90,2024-06-20,70.51,6345.90
INV000270,C00006,P00335,2,2025-12-07,108.33,216.66
INV000271,C00006,P00045,4,2023-07-13,209.94,839.76
INV000272,C00006,P01659,82,2023-06-24,66.01,5412.82
INV000273,C00006,P00777,8,2025-03-22,62.49,499.92
INV000274,C00006,P05345,21,2025-02-16,32.33,678.93
INV000275,C00006,P00495,2,2023-09-15,170.93,341.86
INV000276,C00006,P02091,18,2023-10-28,48.07,865.26
INV000277,C00006,P00789,16,2025-05-21,23.04,368.64
INV000278,C00006,P01699,97,2023-10-29,60.03,5822.91
INV000279,C00006,P00533,16,2024-07-05,32.94,527.04
INV000280,C00006,P00016,1,2023-07-12,163.99,163.99
INV000281,C00006,P04645,22,2024-12-08,7.14,157.08
INV000282,C00006,P01454,18,2025-04-17,20.30,365.40
INV000283,C00006,P00671,2,2025-04-18,109.29,218.58
INV000284,C00006,P01855,95,2023-04-13,36.28,3446.60
INV000285,C00006,P04069,43,2025-10-14,20.30,872.90
INV000286,C00006,P04129,32,2025-02-06,9.66,309.12
INV000287,C00006,P01929,63,2024-09-22,82.36,5188.68
INV000288,C00006,P01814,75,2024-10-10,21.04,1578.00
INV000289,C00006,P00515,19,2024-10-19,18.24,346.56
INV000290,C00006,P05121,3,2025-05-16,216.93,650.79
INV000291,C00006,P01185,7,2024-06-26,38.46,269.22
INV000292,C00006,P04608,48,2024-06-08,15.66,751.68
INV000293,C00006,P00006,3,2025-07-22,205.20,615.60
INV000294,C00006,P02013,77,2025-07-20,71.06,5471.62
INV000295,C00006,P00302,3,2024-08-10,161.26,483.78
INV000296,C00006,P00506,19,2025-11-09,16.30,309.70
INV000297,C00006,P05339,19,2023-06-29,14.71,279.49
INV000298,C00006,P05285,19,2025-03-18,336.99,6402.81
INV000299,C00006,P01478,95,2024-07-17,61.89,5879.55
INV000300,C00006,P00444,1,2025-11-03,175.29,175.29
INV000301,C00006,P01129,7,2025-09-23,36.39,254.73
INV000302,C00006,P04671,18,2025-09-20,39.63,713.34
INV000303,C00006,P05332,21,2025-10-11,58.30,1224.30
INV000304,C00006,P05354,19,2023-05-13,33.14,629.66
INV000305,C00006,P00863,6,2024-09-27,51.79,310.74
INV000306,C00006,P04763,10,2025-09-27,37.62,376.20
INV000307,C00006,P01119,17,2023-04-30,53.41,907.97
INV000308,C00006,P04604,24,2023-02-08,12.73,305.52
INV000309,C00006,P04648,49,2024-07-02,9.18,449.82
INV000310,C00006,P01502,32,2024-05-21,72.61,2323.52
INV000311,C00006,P00831,12,2025-02-08,150.53,1806.36
INV000312,C00006,P00761,8,2025-07-16,32.08,256.64
INV000313,C00006,P00163,4,2024-04-17,244.83,979.32
INV000314,C00006,P00434,5,2025-03-11,463.91,2319.55
INV000315,C00006,P00259,5,2023-06-03,119.15,595.75
INV000316,C00006,P01068,16,2024-09-30,23.15,370.40
INV000317,C00006,P01170,9,2024-01-09,26.16,235.44
INV000318,C00006,P00787,21,2023-10-05,43.01,903.21
INV000319,C00006,P00333,2,2024-04-14,104.64,209.28
INV000320,C00006,P04647,40,2023-01-03,7.23,289.20
INV000321,C00006,P02226,57,2024-09-23,21.77,1240.89
INV000322,C00006,P04519,47,2024-06-17,5.15,242.05
INV000323,C00006,P05325,19,2023-12-28,43.30,822.70
INV000324,C00006,P00819,13,2023-10-01,66.36,862.68
INV000325,C00006,P00005,3,2024-05-14,227.92,683.76
INV000326,C00006,P00777,15,2025-01-06,58.48,877.20
INV000327,C00006,P00314,3,2024-05-24,172.31,516.93
INV000328,C00006,P00334,5,2024-05-12,126.10,630.50
INV000329,C00006,P01477,91,2023-12-17,40.02,3641.82
INV000330,C00006,P01595,53,2023-07-01,34.38,1822.14
INV000331,C00006,P01208,23,2024-11-14,50.11,1152.53
INV000332,C00006,P00904,2,2024-08-03,20.12,40.24
INV000333,C00006,P04685,5,2024-08-14,19.51,97.55
INV000334,C00006,P04391,22,2025-09-04,66.29,1458.38
INV000335,C00006,P05326,19,2025-06-16,36.00,684.00
INV000336,C00007,P03957,1,2023-10-10,168.28,168.28
INV000337,C00007,P00482,1,2025-08-31,223.65,223.65
INV000338,C00007,P03915,5,2025-08-01,209.95,1049.75
INV000339,C00007,P03904,2,2024-05-07,195.32,390.64
INV000340,C00007,P03992,2,2023-07-06,9.77,19.54
INV000341,C00007,P03961,3,2024-04-01,147.69,443.07
INV000342,C00007,P03955,5,2024-04-14,138.27,691.35
INV000343,C00007,P04044,1,2024-05-21,132.31,132.31
INV000344,C00007,P00060,1,2024-02-17,63.86,63.86
INV000345,C00007,P00421,5,2023-12-17,437.30,2186.50
INV000346,C00007,P03936,3,2024-06-30,155.84,467.52
INV000347,C00007,P04006,3,2025-08-11,13.30,39.90
INV000348,C00007,P03992,5,2023-02-03,9.84,49.20
INV000349,C00007,P04054,1,2023-10-17,73.78,73.78
INV000350,C00007,P03960,5,2025-01-05,179.48,897.40
INV000351,C00007,P00028,3,2023-08-12,197.49,592.47
INV000352,C00007,P03971,5,2025-09-09,11.33,56.65
INV000353,C00007,P03767,21,2023-07-04,73.12,1535.52
INV000354,C00007,P03654,14,2023-06-01,18.90,264.60
INV000355,C00008,P00400,2,2025-07-10,133.27,266.54
INV000356,C00008,P00075,4,2023-08-24,164.17,656.68
INV000357,C00008,P01378,67,2025-05-17,29.40,1969.80
INV000358,C00008,P00004,5,2024-04-25,227.08,1135.40
INV000359,C00008,P01030,17,2023-04-25,12.93,219.81
INV000360,C00008,P05273,9,2025-07-08,236.38,2127.42
INV000361,C00008,P00437,5,2023-10-25,147.28,736.40
INV000362,C00008,P02086,90,2023-06-14,71.73,6455.70
INV000363,C00008,P00885,24,2024-07-16,131.47,3155.28
INV000364,C00008,P02249,89,2023-05-17,16.48,1466.72
INV000365,C00008,P04725,7,2023-07-28,26.75,187.25
INV000366,C00008,P00730,23,2023-06-07,37.65,865.95
INV000367,C00008,P00077,1,2025-10-24,157.54,157.54
INV000368,C00008,P00387,5,2024-05-30,96.97,484.85
INV000369,C00008,P01257,15,2023-01-14,25.50,382.50
INV000370,C00008,P04630,31,2023-05-07,6.23,193.13
INV000371,C00008,P00200,4,2023-04-24,345.73,1382.92
INV000372,C00008,P00641,10,2024-11-19,81.78,817.80
INV000373,C00008,P00585,23,2023-03-16,18.93,435.39
INV000374,C00008,P01015,13,2025-01-07,122.46,1591.98
INV000375,C00008,P00243,5,2023-11-26,218.64,1093.20
INV000376,C00008,P05309,18,2024-08-01,10.67,192.06
INV000377,C00009,P05088,3,2023-11-15,81.71,245.13
INV000378,C00009,P04477,47,2025-05-15,109.34,5138.98
INV000379,C00009,P00409,4,2024-12-26,213.99,855.96
INV000380,C00009,P00923,2,2025-08-27,19.60,39.20
INV000381,C00009,P01751,59,2023-01-18,34.89,2058.51
INV000382,C00009,P00530,18,2025-11-09,26.99,485.82
INV000383,C00009,P01956,78,2023-03-18,136.38,10637.64
INV000384,C00009,P04408,43,2025-05-26,39.88,1714.84
INV000385,C00009,P05331,17,2023-12-31,64.46,1095.82
INV000386,C00009,P01098,15,2023-05-05,13.43,201.45
INV000387,C00009,P01629,55,2024-09-04,22.58,1241.90
INV000388,C00009,P01984,23,2025-01-26,43.46,999.58
INV000389,C00009,P01510,75,2023-08-25,40.55,3041.25
INV000390,C00009,P01203,18,2023-05-07,61.32,1103.76
INV000391,C00009,P02217,22,2024-06-10,20.07,441.54
INV000392,C00009,P04113,43,2024-10-16,18.11,778.73
INV000393,C00009,P04674,24,2025-06-19,44.99,1079.76
INV000394,C00009,P04710,14,2025-06-23,23.15,324.10
INV000395,C00009,P04614,40,2024-11-06,13.80,552.00
INV000396,C00009,P01187,18,2023-10-10,38.81,698.58
INV000397,C00009,P01960,58,2024-11-19,63.39,3676.62
INV000398,C00009,P00329,3,2023-07-07,68.77,206.31
INV000399,C00009,P04630,47,2023-05-09,6.94,326.18
INV000400,C00009,P01163,5,2024-02-17,44.33,221.65
INV000401,C00009,P02243,38,2025-11-03,32.85,1248.30
INV000402,C00009,P01926,71,2023-04-15,90.14,6399.94
INV000403,C00009,P00366,1,2024-12-01,155.25,155.25
INV000404,C00009,P00014,4,2024-08-30,151.53,606.12
INV000405,C00009,P01600,92,2024-10-01,51.60,4747.20
INV000406,C00009,P00252,2,2023-08-08,214.09,428.18
INV000407,C00009,P04797,13,2024-05-03,69.17,899.21
INV000408,C00009,P01301,29,2023-08-06,47.54,1378.66
INV000409,C00009,P04704,3,2025-05-12,17.40,52.20
INV000410,C00009,P01531,33,2025-08-15,50.58,1669.14
INV000411,C00009,P01167,21,2023-08-05,29.41,617.61
INV000412,C00009,P04141,34,2024-11-02,38.95,1324.30
INV000413,C00009,P00711,5,2025-04-29,22.00,110.00
INV000414,C00009,P01696,18,2025-09-28,26.52,477.36
INV000415,C00009,P00122,5,2023-04-10,229.40,1147.00
INV000416,C00009,P00115,1,2025-10-21,209.08,209.08
INV000417,C00009,P00208,2,2023-05-17,277.61,555.22
INV000418,C00009,P00110,4,2024-03-24,167.83,671.32
INV000419,C00009,P01398,62,2025-04-26,51.59,3198.58
INV000420,C00009,P00892,18,2024-05-19,28.18,507.24
INV000421,C00009,P04566,48,2024-05-04,8.60,412.80
INV000422,C00009,P05336,16,2023-09-03,72.29,1156.64
INV000423,C00009,P05075,4,2025-08-12,98.71,394.84
INV000424,C00009,P04419,10,2025-07-11,85.06,850.60
INV000425,C00009,P01027,12,2024-08-08,11.56,138.72
INV000426,C00010,P01279,23,2024-03-20,43.82,1007.86
INV000427,C00010,P03730,19,2023-03-27,45.77,869.63
INV000428,C00010,P03551,6,2025-09-09,3.10,18.60
INV000429,C00010,P01179,19,2025-03-14,38.38,729.22
INV000430,C00010,P04744,7,2023-03-23,11.94,83.58
INV000431,C00010,P03639,23,2023-04-22,17.59,404.57
INV000432,C00010,P03719,3,2024-07-05,36.96,110.88
INV000433,C00010,P05346,5,2025-09-16,25.98,129.90
INV000434,C00010,P03634,20,2025-03-10,28.74,574.80
INV000435,C00010,P03862,23,2023-06-10,12.03,276.69
INV000436,C00010,P00286,1,2024-10-30,163.55,163.55
INV000437,C00010,P05345,5,2024-07-09,30.49,152.45
INV000438,C00010,P03790,7,2023-02-09,19.50,136.50
INV000439,C00010,P03782,12,2023-10-05,27.63,331.56
INV000440,C00010,P03710,13,2024-07-30,45.10,586.30
INV000441,C00010,P03494,10,2023-07-29,90.23,902.30
INV000442,C00010,P05324,15,2025-05-10,58.14,872.10
INV000443,C00010,P00027,4,2023-11-09,122.25,489.00
INV000444,C00010,P01047,24,2025-07-03,19.81,475.44
INV000445,C00010,P03740,7,2025-09-22,33.90,237.30
INV000446,C00010,P03708,18,2023-04-15,28.82,518.76
INV000447,C00010,P00282,1,2025-07-19,69.60,69.60
INV000448,C00010,P00520,21,2023-09-27,38.43,807.03
INV000449,C00010,P03764,7,2025-08-24,25.78,180.46
INV000450,C00011,P04516,36,2025-09-17,5.28,190.08
INV000451,C00011,P05294,3,2023-02-26,29.33,87.99
INV000452,C00011,P01797,78,2024-07-29,47.56,3709.68
INV000453,C00011,P00585,23,2025-09-13,21.47,493.81
INV000454,C00011,P00032,2,2025-11-10,280.96,561.92
INV000455,C00011,P05095,5,2024-11-11,285.60,1428.00
INV000456,C00011,P01222,3,2023-05-09,23.28,69.84
INV000457,C00011,P05125,3,2024-07-11,295.07,885.21
INV000458,C00011,P04721,12,2023-08-28,20.22,242.64
INV000459,C00011,P02179,44,2023-02-20,21.52,946.88
