product_id,product_name,brand,l2_category,l3_category,functionality,unit_price,unit_of_measure,in_stock
P00023,Black+Decker 24V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,181.48,Each,TRUE
P00024,Milwaukee 24V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,138.33,Each,TRUE
P00025,Black+Decker 24V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,192.51,Each,TRUE
P00026,DeWalt 18V MAX Cordless Drills,DeWalt,Power Tools,Cordless Drills,Drilling,276.83,Each,TRUE
P00027,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,132.95,Each,TRUE
P00028,Black+Decker 18V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,207.24,Each,TRUE
P00029,DeWalt 20V MAX Cordless Drills,DeWalt,Power Tools,Cordless Drills,Drilling,122.22,Each,TRUE
P00030,Milwaukee 18V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,191.49,Each,FALSE
P00031,Bosch 24V MAX Cordless Drills,Bosch,Power Tools,Cordless Drills,Drilling,146.03,Each,TRUE
P00032,Makita 18V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,293.10,Each,TRUE
P00033,Milwaukee 20V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,215.29,Each,TRUE
P00034,Makita 20V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,144.47,Each,TRUE
P00035,Ryobi 18V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,153.11,Each,FALSE
P00036,Ryobi 20V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,219.42,Each,TRUE
P00037,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,291.69,Each,TRUE
P00038,Milwaukee 18V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,255.80,Each,TRUE
P00039,Milwaukee 24V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,181.43,Each,TRUE
P00040,Black+Decker 20V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,233.85,Each,FALSE
P00041,Makita 20V MAX Cordless Drills,Makita,Power Tools,Cordless Drills,Drilling,131.36,Each,TRUE
P00042,Milwaukee 24V MAX Cordless Drills,Milwaukee,Power Tools,Cordless Drills,Drilling,151.13,Each,TRUE
P00043,Black+Decker 24V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,173.41,Each,TRUE
P00044,Black+Decker 18V MAX Cordless Drills,Black+Decker,Power Tools,Cordless Drills,Drilling,172.50,Each,TRUE
P00045,Ryobi 24V MAX Cordless Drills,Ryobi,Power Tools,Cordless Drills,Drilling,218.29,Each,TRUE
P00046,Black+Decker Model 509 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,109.33,Each,TRUE
P00047,Ryobi Model 386 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,159.79,Each,TRUE
P00048,Milwaukee Model 865 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,115.77,Each,TRUE
P00049,Ryobi Model 197 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,135.62,Each,TRUE
P00050,Milwaukee Model 297 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,85.14,Each,TRUE
P00051,Makita Model 218 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,65.85,Each,TRUE
P00052,DeWalt Model 290 Corded Drills,DeWalt,Power Tools,Corded Drills,Drilling,60.86,Each,TRUE
P00053,Milwaukee Model 497 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,149.19,Each,TRUE
P00054,Bosch Model 399 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,66.30,Each,TRUE
P00055,Milwaukee Model 807 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,113.87,Each,TRUE
P00056,Ryobi Model 442 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,151.49,Each,TRUE
P00057,Black+Decker Model 105 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,160.98,Each,TRUE
P00058,Makita Model 921 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,110.06,Each,TRUE
P00059,Ryobi Model 286 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,91.65,Each,TRUE
P00060,DeWalt Model 200 Corded Drills,DeWalt,Power Tools,Corded Drills,Drilling,66.52,Each,TRUE
P00061,Black+Decker Model 475 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,166.03,Each,TRUE
P00062,Makita Model 582 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,70.25,Each,TRUE
P00063,Milwaukee Model 267 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,107.25,Each,TRUE
P00064,Ryobi Model 935 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,147.44,Each,TRUE
P00065,DeWalt Model 364 Corded Drills,DeWalt,Power Tools,Corded Drills,Drilling,79.50,Each,TRUE
P00066,Milwaukee Model 526 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,112.75,Each,TRUE
P00067,Black+Decker Model 194 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,128.80,Each,TRUE
P00068,Black+Decker Model 770 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,66.42,Each,TRUE
P00069,Black+Decker Model 604 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,108.40,Each,TRUE
P00070,Bosch Model 206 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,140.65,Each,TRUE
P00071,Ryobi Model 266 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,63.55,Each,TRUE
P00072,Makita Model 112 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,63.68,Each,TRUE
P00073,Black+Decker Model 840 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,66.87,Each,TRUE
P00074,Bosch Model 990 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,93.62,Each,TRUE
P00075,Black+Decker Model 359 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,165.42,Each,TRUE
P00076,Makita Model 229 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,87.46,Each,TRUE
P00077,Black+Decker Model 532 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,170.47,Each,TRUE
P00078,DeWalt Model 728 Corded Drills,DeWalt,Power Tools,Corded Drills,Drilling,77.86,Each,TRUE
P00079,Black+Decker Model 393 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,110.96,Each,TRUE
P00080,Milwaukee Model 540 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,64.05,Each,TRUE
P00081,Makita Model 329 Corded Drills,Makita,Power Tools,Corded Drills,Drilling,137.02,Each,TRUE
P00082,Bosch Model 656 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,131.83,Each,TRUE
P00083,Black+Decker Model 865 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,105.09,Each,TRUE
P00084,Ryobi Model 754 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,94.02,Each,TRUE
P00085,Bosch Model 770 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,159.57,Each,TRUE
P00086,Bosch Model 780 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,111.19,Each,TRUE
P00087,Milwaukee Model 149 Corded Drills,Milwaukee,Power Tools,Corded Drills,Drilling,90.49,Each,TRUE
P00088,Ryobi Model 736 Corded Drills,Ryobi,Power Tools,Corded Drills,Drilling,107.74,Each,TRUE
P00089,Bosch Model 678 Corded Drills,Bosch,Power Tools,Corded Drills,Drilling,62.55,Each,TRUE
P00090,Black+Decker Model 614 Corded Drills,Black+Decker,Power Tools,Corded Drills,Drilling,68.09,Each,TRUE
P00091,Black+Decker Model 310 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,211.15,Each,TRUE
P00092,Black+Decker Model 711 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,151.95,Each,TRUE
P00093,Black+Decker Model 625 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,196.91,Each,TRUE
P00094,DeWalt Model 614 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,219.86,Each,TRUE
P00095,DeWalt Model 999 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,183.16,Each,TRUE
P00096,Milwaukee Model 597 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,174.76,Each,TRUE
P00097,Black+Decker Model 534 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,126.23,Each,TRUE
P00098,DeWalt Model 768 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,206.26,Each,TRUE
P00099,Milwaukee Model 284 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,236.23,Each,TRUE
P00100,Makita Model 135 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,165.89,Each,TRUE
P00101,Bosch Model 732 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,206.34,Each,TRUE
P00102,Makita Model 331 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,242.85,Each,TRUE
P00103,DeWalt Model 722 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,220.11,Each,TRUE
P00104,Milwaukee Model 571 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,187.75,Each,TRUE
P00105,Milwaukee Model 230 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,187.45,Each,TRUE
P00106,Makita Model 771 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,131.12,Each,TRUE
P00107,Bosch Model 989 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,139.02,Each,FALSE
P00108,Makita Model 316 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,120.92,Each,TRUE
P00109,Milwaukee Model 636 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,212.89,Each,TRUE
P00110,Bosch Model 354 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,172.01,Each,FALSE
P00111,Makita Model 226 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,133.78,Each,FALSE
P00112,Bosch Model 628 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,100.98,Each,FALSE
P00113,Ryobi Model 176 Impact Drivers,Ryobi,Power Tools,Impact Drivers,Fastening,238.81,Each,TRUE
P00114,Makita Model 302 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,166.64,Each,TRUE
P00115,Black+Decker Model 328 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,218.95,Each,TRUE
P00116,Black+Decker Model 962 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,154.94,Each,TRUE
P00117,Bosch Model 429 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,197.50,Each,TRUE
P00118,Milwaukee Model 897 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,176.68,Each,TRUE
P00119,Milwaukee Model 925 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,239.57,Each,TRUE
P00120,Ryobi Model 627 Impact Drivers,Ryobi,Power Tools,Impact Drivers,Fastening,172.95,Each,TRUE
P00121,Bosch Model 970 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,221.03,Each,TRUE
P00122,Black+Decker Model 797 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,233.76,Each,TRUE
P00123,Black+Decker Model 686 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,218.32,Each,TRUE
P00124,Bosch Model 861 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,133.03,Each,TRUE
P00125,Bosch Model 335 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,173.15,Each,TRUE
P00126,Bosch Model 524 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,114.63,Each,TRUE
P00127,Milwaukee Model 588 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,121.58,Each,TRUE
P00128,Milwaukee Model 541 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,183.83,Each,TRUE
P00129,Milwaukee Model 954 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,120.16,Each,TRUE
P00130,DeWalt Model 232 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,103.63,Each,TRUE
P00131,Milwaukee Model 661 Impact Drivers,Milwaukee,Power Tools,Impact Drivers,Fastening,221.91,Each,FALSE
P00132,DeWalt Model 650 Impact Drivers,DeWalt,Power Tools,Impact Drivers,Fastening,114.81,Each,TRUE
P00133,Bosch Model 434 Impact Drivers,Bosch,Power Tools,Impact Drivers,Fastening,242.72,Each,TRUE
P00134,Black+Decker Model 401 Impact Drivers,Black+Decker,Power Tools,Impact Drivers,Fastening,249.41,Each,TRUE
P00135,Makita Model 807 Impact Drivers,Makita,Power Tools,Impact Drivers,Fastening,199.90,Each,TRUE
P00136,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,261.50,Each,TRUE
P00137,Ryobi 10 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,117.89,Each,TRUE
P00138,Black+Decker 6-1/2 inch Circular Saws,Black+Decker,Power Tools,Circular Saws,Cutting,257.52,Each,TRUE
P00139,DeWalt 6-1/2 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,101.39,Each,TRUE
P00140,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,312.31,Each,TRUE
P00141,Bosch 10 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,142.60,Each,TRUE
P00142,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,206.25,Each,TRUE
P00143,Bosch 7-1/4 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,250.61,Each,TRUE
P00144,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,188.23,Each,TRUE
P00145,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,250.42,Each,TRUE
P00146,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,117.79,Each,TRUE
P00147,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,304.64,Each,TRUE
P00148,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,130.41,Each,TRUE
P00149,Bosch 7-1/4 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,203.32,Each,TRUE
P00150,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,290.27,Each,TRUE
P00151,Ryobi 6-1/2 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,146.31,Each,TRUE
P00152,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,335.43,Each,TRUE
P00153,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,287.04,Each,TRUE
P00154,Ryobi 10 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,322.27,Each,TRUE
P00155,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,320.49,Each,TRUE
P00156,Milwaukee 10 inch Circular Saws,Milwaukee,Power Tools,Circular Saws,Cutting,261.00,Each,TRUE
P00157,Milwaukee 6-1/2 inch Circular Saws,Milwaukee,Power Tools,Circular Saws,Cutting,300.70,Each,TRUE
P00158,Bosch 6-1/2 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,168.55,Each,TRUE
P00159,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,131.70,Each,TRUE
P00160,Bosch 6-1/2 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,273.55,Each,TRUE
P00161,DeWalt 10 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,323.53,Each,TRUE
P00162,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,212.08,Each,TRUE
P00163,Bosch 10 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,243.79,Each,TRUE
P00164,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,111.60,Each,TRUE
P00165,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,188.86,Each,TRUE
P00166,Bosch 7-1/4 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,189.99,Each,FALSE
P00167,Makita 6-1/2 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,303.06,Each,TRUE
P00168,Bosch 7-1/4 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,189.23,Each,TRUE
P00169,Black+Decker 10 inch Circular Saws,Black+Decker,Power Tools,Circular Saws,Cutting,160.51,Each,TRUE
P00170,Makita 7-1/4 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,338.00,Each,TRUE
P00171,Black+Decker 7-1/4 inch Circular Saws,Black+Decker,Power Tools,Circular Saws,Cutting,231.99,Each,TRUE
P00172,Milwaukee 6-1/2 inch Circular Saws,Milwaukee,Power Tools,Circular Saws,Cutting,336.69,Each,TRUE
P00173,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,158.69,Each,TRUE
P00174,Ryobi 7-1/4 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,270.34,Each,TRUE
P00175,Ryobi 10 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,111.55,Each,FALSE
P00176,Ryobi 7-1/4 inch Circular Saws,Ryobi,Power Tools,Circular Saws,Cutting,223.93,Each,TRUE
P00177,Black+Decker 6-1/2 inch Circular Saws,Black+Decker,Power Tools,Circular Saws,Cutting,205.02,Each,TRUE
P00178,DeWalt 7-1/4 inch Circular Saws,DeWalt,Power Tools,Circular Saws,Cutting,105.43,Each,TRUE
P00179,Bosch 6-1/2 inch Circular Saws,Bosch,Power Tools,Circular Saws,Cutting,124.78,Each,TRUE
P00180,Makita 10 inch Circular Saws,Makita,Power Tools,Circular Saws,Cutting,256.22,Each,TRUE
P00181,DeWalt Model 320 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,501.69,Each,TRUE
P00182,Black+Decker Model 337 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,271.14,Each,FALSE
P00183,Ryobi Model 665 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,201.51,Each,TRUE
P00184,Black+Decker Model 760 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,477.71,Each,TRUE
P00185,Makita Model 655 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,262.28,Each,TRUE
P00186,Ryobi Model 184 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,461.41,Each,TRUE
P00187,Milwaukee Model 542 Miter Saws,Milwaukee,Power Tools,Miter Saws,Cutting,471.99,Each,TRUE
P00188,Makita Model 838 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,392.67,Each,TRUE
P00189,Black+Decker Model 348 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,389.62,Each,TRUE
P00190,Makita Model 109 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,526.52,Each,TRUE
P00191,Bosch Model 933 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,229.85,Each,TRUE
P00192,DeWalt Model 732 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,442.53,Each,TRUE
P00193,Black+Decker Model 247 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,357.83,Each,TRUE
P00194,Bosch Model 920 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,268.59,Each,TRUE
P00195,Bosch Model 609 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,515.38,Each,TRUE
P00196,Ryobi Model 821 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,548.79,Each,TRUE
P00197,Ryobi Model 202 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,497.46,Each,TRUE
P00198,DeWalt Model 120 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,305.55,Each,TRUE
P00199,DeWalt Model 355 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,514.69,Each,TRUE
P00200,DeWalt Model 735 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,358.26,Each,TRUE
P00201,Makita Model 164 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,464.69,Each,TRUE
P00202,DeWalt Model 553 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,537.34,Each,FALSE
P00203,DeWalt Model 780 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,477.22,Each,TRUE
P00204,Milwaukee Model 338 Miter Saws,Milwaukee,Power Tools,Miter Saws,Cutting,202.72,Each,TRUE
P00205,Black+Decker Model 953 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,438.23,Each,TRUE
P00206,Black+Decker Model 523 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,262.59,Each,TRUE
P00207,Ryobi Model 100 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,366.37,Each,TRUE
P00208,Bosch Model 154 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,268.43,Each,TRUE
P00209,DeWalt Model 948 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,388.38,Each,TRUE
P00210,Ryobi Model 184 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,557.67,Each,TRUE
P00211,DeWalt Model 950 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,585.65,Each,TRUE
P00212,Ryobi Model 527 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,219.87,Each,TRUE
P00213,Ryobi Model 108 Miter Saws,Ryobi,Power Tools,Miter Saws,Cutting,534.96,Each,TRUE
P00214,Makita Model 875 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,243.85,Each,TRUE
P00215,Bosch Model 895 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,399.60,Each,TRUE
P00216,Makita Model 669 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,208.42,Each,TRUE
P00217,Bosch Model 511 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,396.76,Each,TRUE
P00218,Makita Model 406 Miter Saws,Makita,Power Tools,Miter Saws,Cutting,562.45,Each,TRUE
P00219,Milwaukee Model 909 Miter Saws,Milwaukee,Power Tools,Miter Saws,Cutting,451.66,Each,TRUE
P00220,DeWalt Model 332 Miter Saws,DeWalt,Power Tools,Miter Saws,Cutting,375.30,Each,TRUE
P00221,Bosch Model 400 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,257.19,Each,TRUE
P00222,Black+Decker Model 995 Miter Saws,Black+Decker,Power Tools,Miter Saws,Cutting,562.60,Each,TRUE
P00223,Bosch Model 539 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,413.95,Each,TRUE
P00224,Milwaukee Model 710 Miter Saws,Milwaukee,Power Tools,Miter Saws,Cutting,499.30,Each,TRUE
P00225,Bosch Model 357 Miter Saws,Bosch,Power Tools,Miter Saws,Cutting,248.60,Each,TRUE
P00226,DeWalt Model 182 Reciprocating Saws,DeWalt,Power Tools,Reciprocating Saws,Cutting,196.93,Each,TRUE
P00227,Makita Model 559 Reciprocating Saws,Makita,Power Tools,Reciprocating Saws,Cutting,235.14,Each,TRUE
P00228,Milwaukee Model 205 Reciprocating Saws,Milwaukee,Power Tools,Reciprocating Saws,Cutting,170.01,Each,TRUE
P00229,Bosch Model 804 Reciprocating Saws,Bosch,Power Tools,Reciprocating Saws,Cutting,95.70,Each,TRUE
P00230,Milwaukee Model 310 Reciprocating Saws,Milwaukee,Power Tools,Reciprocating Saws,Cutting,81.81,Each,TRUE
P00231,Milwaukee Model 737 Reciprocating Saws,Milwaukee,Power Tools,Reciprocating Saws,Cutting,162.50,Each,TRUE
P00232,Bosch Model 803 Reciprocating Saws,Bosch,Power Tools,Reciprocating Saws,Cutting,210.96,Each,TRUE
P00233,Ryobi Model 192 Reciprocating Saws,Ryobi,Power Tools,Reciprocating Saws,Cutting,109.98,Each,TRUE
P00234,Makita Model 198 Reciprocating Saws,Makita,Power Tools,Reciprocating Saws,Cutting,206.31,Each,TRUE
P00235,Ryobi Model 970 Reciprocating Saws,Ryobi,Power Tools,Reciprocating Saws,Cutting,148.58,Each,TRUE
P00236,Black+Decker Model 163 Reciprocating Saws,Black+Decker,Power Tools,Reciprocating Saws,Cutting,118.50,Each,TRUE
P00237,Makita Model 500 Reciprocating Saws,Makita,Power Tools,Reciprocating Saws,Cutting,154.48,Each,TRUE
P00238,DeWalt Model 654 Reciprocating Saws,DeWalt,Power Tools,Reciprocating Saws,Cutting,226.14,Each,TRUE
